Kecamatan,Desa,Waktu,Satelit,Confidence,Longitude,Latitude,in_desa,in_buffer,is_hutan,is_gambut,is_kk,in_kawasan,Prioritas_Satgas
Matan Hilir Utara,Lamon Satong,"Rabu, 09 September 2026 08:34:00",NASA-MODIS,Medium,110.18233,-1.51954,False,False,False,False,False,False,Di Luar Area Pantauan (>1000m dari Desa)
Kendawangan,Air Hitam Besar,"Rabu, 09 September 2026 13:54:00",NASA-SNPP,Medium,110.74137,-2.72951,False,False,False,False,False,False,Di Luar Area Pantauan (>1000m dari Desa)
Kendawangan,Air Hitam Besar,"Rabu, 09 September 2026 13:54:00",NASA-SNPP,Medium,110.73565,-2.72808,False,False,False,False,False,False,Di Luar Area Pantauan (>1000m dari Desa)
Manis Mata,Jambi,"Rabu, 09 September 2026 13:54:00",NASA-SNPP,Medium,111.06028,-2.65809,False,False,False,False,False,False,Di Luar Area Pantauan (>1000m dari Desa)
Kendawangan,Pembedilan,"Rabu, 09 September 2026 13:54:00",NASA-SNPP,Medium,110.29311,-2.88985,False,False,False,True,True,True,Di Luar Area Pantauan (>1000m dari Desa)
Kendawangan,Air Hitam Besar,"Rabu, 09 September 2026 13:54:00",NASA-SNPP,Medium,110.75154,-2.7452,False,False,False,False,False,False,Di Luar Area Pantauan (>1000m dari Desa)
Kendawangan,Air Hitam Besar,"Rabu, 09 September 2026 13:54:00",NASA-SNPP,Medium,110.7545,-2.7389,False,False,False,False,False,False,Di Luar Area Pantauan (>1000m dari Desa)
Kendawangan,Air Hitam Besar,"Rabu, 09 September 2026 13:54:00",NASA-SNPP,Medium,110.74691,-2.74017,False,False,False,False,False,False,Di Luar Area Pantauan (>1000m dari Desa)
Kendawangan,Air Hitam Besar,"Rabu, 09 September 2026 13:54:00",NASA-SNPP,Medium,110.74313,-2.74081,False,False,False,False,False,False,Di Luar Area Pantauan (>1000m dari Desa)
Manis Mata,Jambi,"Rabu, 09 September 2026 13:54:00",NASA-SNPP,Medium,111.06158,-2.65782,False,False,False,False,False,False,Di Luar Area Pantauan (>1000m dari Desa)
Manis Mata,Jambi,"Rabu, 09 September 2026 13:54:00",NASA-SNPP,Medium,111.06121,-2.66386,False,False,False,False,False,False,Di Luar Area Pantauan (>1000m dari Desa)
Matan Hilir Selatan,Pagar Mentimun,"Rabu, 09 September 2026 08:34:00",NASA-MODIS,Medium,110.18002,-2.24013,False,False,True,False,False,True,Di Luar Area Pantauan (>1000m dari Desa)
Matan Hilir Selatan,Pagar Mentimun,"Rabu, 09 September 2026 08:34:00",NASA-MODIS,High,110.17384,-2.24239,False,False,False,False,False,False,Di Luar Area Pantauan (>1000m dari Desa)
