Kecamatan,Desa,Waktu,Satelit,Confidence,Longitude,Latitude,in_desa,in_buffer,is_hutan,is_gambut,is_kk,in_kawasan,Prioritas_Satgas
Nanga Tayap,Sepakat Jaya,"Jumat, 11 September 2026 08:15:00",NASA-MODIS,Low,110.66622,-1.41933,False,False,False,False,False,False,Di Luar Area Pantauan (>1000m dari Desa)
Simpang Dua,Kampar Sebomban,"Jumat, 11 September 2026 08:15:00",NASA-MODIS,Low,110.15554,-0.83066,False,False,True,False,False,True,Di Luar Area Pantauan (>1000m dari Desa)
Kendawangan,Airhitam Hulu,"Jumat, 11 September 2026 08:15:00",NASA-MODIS,Medium,110.61217,-2.66724,False,False,False,False,False,False,Di Luar Area Pantauan (>1000m dari Desa)
Simpang Dua,Semandang Kanan,"Jumat, 11 September 2026 08:15:00",NASA-MODIS,Medium,110.40619,-0.77448,False,False,False,False,False,False,Di Luar Area Pantauan (>1000m dari Desa)
Simpang Dua,Kampar Sebomban,"Jumat, 11 September 2026 08:15:00",NASA-MODIS,Medium,110.16451,-0.83195,False,False,True,False,False,True,Di Luar Area Pantauan (>1000m dari Desa)
Muara Pawan,Tanjung Pura,"Jumat, 11 September 2026 08:15:00",NASA-MODIS,Medium,110.22523,-1.69826,False,False,False,True,False,True,Di Luar Area Pantauan (>1000m dari Desa)
Kendawangan,Airhitam Hulu,"Jumat, 11 September 2026 08:15:00",NASA-MODIS,Medium,110.62579,-2.63324,False,False,False,False,False,False,Di Luar Area Pantauan (>1000m dari Desa)
Simpang Hilir,Batu Barat,"Jumat, 11 September 2026 08:15:00",NASA-MODIS,Medium,110.03867,-0.96998,False,False,True,True,False,True,Di Luar Area Pantauan (>1000m dari Desa)
Muara Pawan,Ulak Medang,"Jumat, 11 September 2026 08:15:00",NASA-MODIS,Medium,110.30318,-1.63518,False,False,False,True,False,True,Di Luar Area Pantauan (>1000m dari Desa)
Simpang Hulu,Sekucing Labai,"Jumat, 11 September 2026 08:15:00",NASA-MODIS,Medium,110.09918,-0.49001,False,False,True,False,False,True,Di Luar Area Pantauan (>1000m dari Desa)
Simpang Hilir,Batu Barat,"Jumat, 11 September 2026 08:15:00",NASA-MODIS,Medium,110.1115,-0.90757,False,False,True,True,False,True,Di Luar Area Pantauan (>1000m dari Desa)
Simpang Hilir,Batu Barat,"Jumat, 11 September 2026 08:15:00",NASA-MODIS,Medium,110.02067,-0.98666,False,False,True,True,False,True,Di Luar Area Pantauan (>1000m dari Desa)
Muara Pawan,Ulak Medang,"Jumat, 11 September 2026 08:15:00",NASA-MODIS,Medium,110.28141,-1.51277,False,False,False,False,False,False,Di Luar Area Pantauan (>1000m dari Desa)
Sungai Raya,Kalibandung,"Jumat, 11 September 2026 08:15:00",NASA-MODIS,Medium,109.64022,-0.33238,False,False,False,True,False,True,Di Luar Area Pantauan (>1000m dari Desa)
Nanga Tayap,Simpang Tiga Sembelangaan,"Jumat, 11 September 2026 08:15:00",NASA-MODIS,Medium,110.39223,-1.47241,False,False,False,False,False,False,Di Luar Area Pantauan (>1000m dari Desa)
Manis Mata,Seguling,"Jumat, 11 September 2026 08:15:00",NASA-MODIS,Medium,111.09398,-2.56955,False,False,False,False,False,False,Di Luar Area Pantauan (>1000m dari Desa)
Simpang Hilir,Batu Barat,"Jumat, 11 September 2026 08:15:00",NASA-MODIS,Medium,110.05016,-0.95339,False,False,True,True,False,True,Di Luar Area Pantauan (>1000m dari Desa)
Kendawangan,Airhitam Hulu,"Jumat, 11 September 2026 02:45:00",NASA-MODIS,Medium,110.62533,-2.6598,False,False,False,False,False,False,Di Luar Area Pantauan (>1000m dari Desa)
Simpang Hilir,Batu Barat,"Jumat, 11 September 2026 08:15:00",NASA-MODIS,Medium,110.04115,-0.95211,False,False,True,True,False,True,Di Luar Area Pantauan (>1000m dari Desa)
Matan Hilir Selatan,Sungai Nanjung,"Jumat, 11 September 2026 02:45:00",NASA-MODIS,Medium,110.2606,-2.19147,False,False,True,True,True,True,Di Luar Area Pantauan (>1000m dari Desa)
Matan Hilir Utara,Kuala Tolak,"Jumat, 11 September 2026 08:15:00",NASA-MODIS,Medium,110.10715,-1.46057,False,False,False,False,False,False,Di Luar Area Pantauan (>1000m dari Desa)
Muara Pawan,Ulak Medang,"Jumat, 11 September 2026 08:15:00",NASA-MODIS,Medium,110.27133,-1.52037,False,False,True,True,False,True,Di Luar Area Pantauan (>1000m dari Desa)
Simpang Hilir,Batu Barat,"Jumat, 11 September 2026 08:15:00",NASA-MODIS,Medium,110.10375,-0.89735,False,False,True,True,False,True,Di Luar Area Pantauan (>1000m dari Desa)
Manis Mata,Suka Ramai,"Jumat, 11 September 2026 08:15:00",NASA-MODIS,Medium,111.08802,-2.71718,False,False,False,False,False,False,Di Luar Area Pantauan (>1000m dari Desa)
Muara Pawan,Ulak Medang,"Jumat, 11 September 2026 08:15:00",NASA-MODIS,Medium,110.25359,-1.51783,False,False,True,True,False,True,Di Luar Area Pantauan (>1000m dari Desa)
Simpang Hilir,Lubuk Batu,"Jumat, 11 September 2026 08:15:00",NASA-MODIS,Medium,110.09637,-0.95089,False,False,False,False,False,False,Di Luar Area Pantauan (>1000m dari Desa)
Matan Hilir Selatan,Sungai Nanjung,"Jumat, 11 September 2026 08:15:00",NASA-MODIS,Medium,110.25211,-2.19041,False,False,True,True,True,True,Di Luar Area Pantauan (>1000m dari Desa)
Nanga Tayap,Simpang Tiga Sembelangaan,"Jumat, 11 September 2026 08:15:00",NASA-MODIS,Medium,110.39346,-1.46357,False,False,False,False,False,False,Di Luar Area Pantauan (>1000m dari Desa)
Sukadana,Sejahtera,"Jumat, 11 September 2026 08:15:00",NASA-MODIS,Medium,110.11762,-1.27752,False,False,True,False,True,True,Di Luar Area Pantauan (>1000m dari Desa)
Matan Hilir Selatan,Sungai Besar,"Jumat, 11 September 2026 08:15:00",NASA-MODIS,Medium,110.26001,-1.87873,False,False,True,True,False,True,Di Luar Area Pantauan (>1000m dari Desa)
Muara Pawan,Mayak,"Jumat, 11 September 2026 08:15:00",NASA-MODIS,Medium,110.11999,-1.75726,False,False,False,True,False,True,Di Luar Area Pantauan (>1000m dari Desa)
Simpang Hilir,Matan Jaya,"Jumat, 11 September 2026 08:15:00",NASA-MODIS,Medium,110.11008,-1.0919,False,False,True,True,True,True,Di Luar Area Pantauan (>1000m dari Desa)
Sukadana,Riam Berasap Jaya,"Jumat, 11 September 2026 08:15:00",NASA-MODIS,Medium,110.15368,-1.3462,False,False,False,False,False,False,Di Luar Area Pantauan (>1000m dari Desa)
Simpang Hulu,Kualan Hilir,"Jumat, 11 September 2026 08:15:00",NASA-MODIS,Medium,110.10492,-0.53754,False,False,True,False,False,True,Di Luar Area Pantauan (>1000m dari Desa)
Matan Hilir Selatan,Pematang Gadung,"Jumat, 11 September 2026 08:15:00",NASA-MODIS,Medium,110.31434,-1.96068,False,False,True,True,False,True,Di Luar Area Pantauan (>1000m dari Desa)
Nanga Tayap,Simpang Tiga Sembelangaan,"Jumat, 11 September 2026 08:15:00",NASA-MODIS,Medium,110.36182,-1.43196,False,False,False,False,True,True,Di Luar Area Pantauan (>1000m dari Desa)
Sungai Raya,Kalibandung,"Jumat, 11 September 2026 08:15:00",NASA-MODIS,Medium,109.64957,-0.33372,False,False,False,True,False,True,Di Luar Area Pantauan (>1000m dari Desa)
Ella Hilir,Nanga Nyuruh,"Jumat, 11 September 2026 02:45:00",NASA-MODIS,Medium,112.11118,-0.48696,False,False,False,False,False,False,Di Luar Area Pantauan (>1000m dari Desa)
Simpang Dua,Kampar Sebomban,"Jumat, 11 September 2026 08:15:00",NASA-MODIS,Medium,110.19336,-0.91028,False,False,False,False,False,False,Di Luar Area Pantauan (>1000m dari Desa)
Matan Hilir Selatan,Pagar Mentimun,"Jumat, 11 September 2026 08:15:00",NASA-MODIS,Medium,110.25972,-2.20052,False,False,True,True,True,True,Di Luar Area Pantauan (>1000m dari Desa)
Kendawangan,Airhitam Hulu,"Jumat, 11 September 2026 08:15:00",NASA-MODIS,Medium,110.62215,-2.65968,False,False,False,False,False,False,Di Luar Area Pantauan (>1000m dari Desa)
Matan Hilir Selatan,Pematang Gadung,"Jumat, 11 September 2026 08:15:00",NASA-MODIS,Medium,110.32316,-1.96194,False,False,True,True,False,True,Di Luar Area Pantauan (>1000m dari Desa)
Simpang Hilir,Sungaimata-Mata,"Jumat, 11 September 2026 08:15:00",NASA-MODIS,Medium,110.02969,-0.98796,False,False,True,True,False,True,Di Luar Area Pantauan (>1000m dari Desa)
Kendawangan,Kedondong,"Jumat, 11 September 2026 08:15:00",NASA-MODIS,Medium,110.27628,-2.23207,False,False,False,False,False,False,Di Luar Area Pantauan (>1000m dari Desa)
Matan Hilir Selatan,Pesaguan Kanan,"Jumat, 11 September 2026 08:15:00",NASA-MODIS,Medium,110.3236,-2.04531,False,False,False,True,False,True,Di Luar Area Pantauan (>1000m dari Desa)
Simpang Hilir,Matan Jaya,"Jumat, 11 September 2026 08:15:00",NASA-MODIS,Medium,110.14589,-1.09706,False,False,False,True,True,True,Di Luar Area Pantauan (>1000m dari Desa)
Simpang Hilir,Batu Barat,"Jumat, 11 September 2026 08:15:00",NASA-MODIS,Medium,110.14288,-0.85611,False,False,False,True,False,True,Di Luar Area Pantauan (>1000m dari Desa)
Muara Pawan,Ulak Medang,"Jumat, 11 September 2026 08:15:00",NASA-MODIS,Medium,110.29027,-1.51404,False,False,False,False,False,False,Di Luar Area Pantauan (>1000m dari Desa)
Matan Hilir Utara,Kuala Tolak,"Jumat, 11 September 2026 08:15:00",NASA-MODIS,High,110.14628,-1.4192,False,False,False,True,False,True,Di Luar Area Pantauan (>1000m dari Desa)
Matan Hilir Selatan,Sungai Besar,"Jumat, 11 September 2026 02:45:00",NASA-MODIS,High,110.20484,-1.87662,False,False,True,True,False,True,Di Luar Area Pantauan (>1000m dari Desa)
Kendawangan,Airhitam Hulu,"Jumat, 11 September 2026 08:15:00",NASA-MODIS,High,110.61339,-2.65843,False,False,False,False,False,False,Di Luar Area Pantauan (>1000m dari Desa)
Matan Hilir Selatan,Sungai Besar,"Jumat, 11 September 2026 08:15:00",NASA-MODIS,High,110.12073,-1.92379,False,False,False,True,False,True,Di Luar Area Pantauan (>1000m dari Desa)
Matan Hilir Selatan,Sungai Besar,"Jumat, 11 September 2026 02:45:00",NASA-MODIS,High,110.21,-1.87708,False,False,True,True,False,True,Di Luar Area Pantauan (>1000m dari Desa)
Simpang Dua,Kampar Sebomban,"Jumat, 11 September 2026 08:15:00",NASA-MODIS,High,110.15185,-0.8574,False,False,True,True,False,True,Di Luar Area Pantauan (>1000m dari Desa)
Matan Hilir Utara,Tanjung Baik Budi,"Jumat, 11 September 2026 08:15:00",NASA-MODIS,High,110.18894,-1.52668,False,False,True,True,False,True,Di Luar Area Pantauan (>1000m dari Desa)
Simpang Hilir,Matan Jaya,"Jumat, 11 September 2026 08:15:00",NASA-MODIS,High,110.11905,-1.09319,False,False,True,True,True,True,Di Luar Area Pantauan (>1000m dari Desa)
Simpang Dua,Kampar Sebomban,"Jumat, 11 September 2026 08:15:00",NASA-MODIS,High,110.16853,-0.86887,False,False,False,False,False,False,Di Luar Area Pantauan (>1000m dari Desa)
Muara Pawan,Ulak Medang,"Jumat, 11 September 2026 08:15:00",NASA-MODIS,High,110.2802,-1.52163,False,False,True,True,False,True,Di Luar Area Pantauan (>1000m dari Desa)
