Kecamatan,Desa,Waktu,Satelit,Confidence,Longitude,Latitude,in_desa,in_buffer,is_hutan,is_gambut,is_kk,in_kawasan,Prioritas_Satgas
Ella Hilir,Nyanggau,"Selasa, 08 September 2026 14:46:00",NASA-MODIS,Low,112.14184,-0.51076,False,False,False,False,False,False,Di Luar Area Pantauan (>1000m dari Desa)
Ella Hilir,Nyanggau,"Selasa, 08 September 2026 14:46:00",NASA-MODIS,Low,112.13194,-0.49614,False,False,False,False,False,False,Di Luar Area Pantauan (>1000m dari Desa)
Simpang Hulu,Balai Pinang Hulu,"Selasa, 08 September 2026 12:33:00",NASA-SNPP,Low,110.39666,-0.56477,False,False,False,False,False,False,Di Luar Area Pantauan (>1000m dari Desa)
Muara Pawan,Ulak Medang,"Selasa, 08 September 2026 12:33:00",NASA-SNPP,Low,110.28239,-1.51555,False,False,True,False,False,True,Di Luar Area Pantauan (>1000m dari Desa)
Muara Pawan,Ulak Medang,"Selasa, 08 September 2026 12:33:00",NASA-SNPP,Low,110.27354,-1.51689,False,False,False,True,False,True,Di Luar Area Pantauan (>1000m dari Desa)
Matan Hilir Selatan,Sungai Besar,"Selasa, 08 September 2026 12:33:00",NASA-SNPP,Low,110.20494,-1.87665,False,False,True,True,False,True,Di Luar Area Pantauan (>1000m dari Desa)
Matan Hilir Selatan,Sungai Pelang,"Selasa, 08 September 2026 07:56:00",NASA-MODIS,Medium,110.18967,-1.86034,False,False,True,True,False,True,Di Luar Area Pantauan (>1000m dari Desa)
Matan Hilir Selatan,Sungai Nanjung,"Selasa, 08 September 2026 07:56:00",NASA-MODIS,Medium,110.25256,-2.1888,False,False,True,True,True,True,Di Luar Area Pantauan (>1000m dari Desa)
Nanga Tayap,Betenung,"Selasa, 08 September 2026 07:56:00",NASA-MODIS,Medium,110.7498,-1.54952,False,False,False,False,False,False,Di Luar Area Pantauan (>1000m dari Desa)
Matan Hilir Selatan,Sungai Besar,"Selasa, 08 September 2026 07:56:00",NASA-MODIS,Medium,110.21381,-1.88287,False,False,True,True,False,True,Di Luar Area Pantauan (>1000m dari Desa)
Kendawangan,Air Hitam Besar,"Selasa, 08 September 2026 07:56:00",NASA-MODIS,Medium,110.77048,-2.74819,False,False,False,False,True,True,Di Luar Area Pantauan (>1000m dari Desa)
Benua Kayong,Negeri Baru,"Selasa, 08 September 2026 07:56:00",NASA-MODIS,Medium,110.19808,-1.80082,False,False,False,True,False,True,Di Luar Area Pantauan (>1000m dari Desa)
Simpang Hulu,Balai Pinang Hulu,"Selasa, 08 September 2026 12:33:00",NASA-SNPP,Medium,110.37656,-0.60819,False,False,False,False,False,False,Di Luar Area Pantauan (>1000m dari Desa)
Kendawangan,Natai Kuini,"Selasa, 08 September 2026 12:33:00",NASA-SNPP,Medium,110.70075,-2.92246,False,False,False,False,False,False,Di Luar Area Pantauan (>1000m dari Desa)
Kendawangan,Pembedilan,"Selasa, 08 September 2026 12:33:00",NASA-SNPP,Medium,110.31071,-2.96648,False,False,False,False,True,True,Di Luar Area Pantauan (>1000m dari Desa)
Kendawangan,Pembedilan,"Selasa, 08 September 2026 12:33:00",NASA-SNPP,Medium,110.30899,-2.95417,False,False,False,False,True,True,Di Luar Area Pantauan (>1000m dari Desa)
Kendawangan,Air Hitam Besar,"Selasa, 08 September 2026 12:33:00",NASA-SNPP,Medium,110.77448,-2.74192,False,False,False,False,True,True,Di Luar Area Pantauan (>1000m dari Desa)
Simpang Hilir,Batu Barat,"Selasa, 08 September 2026 12:33:00",NASA-SNPP,Medium,110.04855,-0.96948,False,False,False,True,False,True,Di Luar Area Pantauan (>1000m dari Desa)
Tanah Pinoh Barat,Ganjang,"Selasa, 08 September 2026 12:33:00",NASA-SNPP,Medium,111.3093,-0.86717,True,False,False,False,False,False,Prioritas 2 (Sedang)
Manis Mata,Suka Ramai,"Selasa, 08 September 2026 12:33:00",NASA-SNPP,Medium,111.14188,-2.71709,False,False,False,False,False,False,Di Luar Area Pantauan (>1000m dari Desa)
Kendawangan,Air Hitam Besar,"Selasa, 08 September 2026 12:33:00",NASA-SNPP,Medium,110.77876,-2.74129,False,False,False,False,True,True,Di Luar Area Pantauan (>1000m dari Desa)
Marau,Riam Batu Gading,"Selasa, 08 September 2026 12:33:00",NASA-SNPP,Medium,110.74823,-2.07782,False,False,False,False,False,False,Di Luar Area Pantauan (>1000m dari Desa)
Marau,Batu Payung Dua,"Selasa, 08 September 2026 12:33:00",NASA-SNPP,Medium,110.60119,-2.01722,False,False,False,False,True,True,Di Luar Area Pantauan (>1000m dari Desa)
Muara Pawan,Ulak Medang,"Selasa, 08 September 2026 12:33:00",NASA-SNPP,Medium,110.26907,-1.51756,False,False,True,True,False,True,Di Luar Area Pantauan (>1000m dari Desa)
Muara Pawan,Ulak Medang,"Selasa, 08 September 2026 12:33:00",NASA-SNPP,Medium,110.26813,-1.51153,False,False,False,True,False,True,Di Luar Area Pantauan (>1000m dari Desa)
Muara Pawan,Ulak Medang,"Selasa, 08 September 2026 12:33:00",NASA-SNPP,Medium,110.2646,-1.51823,False,False,True,True,False,True,Di Luar Area Pantauan (>1000m dari Desa)
Nanga Tayap,Simpang Tiga Sembelangaan,"Selasa, 08 September 2026 12:33:00",NASA-SNPP,Medium,110.37251,-1.51424,False,False,False,False,False,False,Di Luar Area Pantauan (>1000m dari Desa)
Simpang Hilir,Matan Jaya,"Selasa, 08 September 2026 12:33:00",NASA-SNPP,Medium,110.16571,-1.05882,False,False,False,False,False,False,Di Luar Area Pantauan (>1000m dari Desa)
Manis Mata,Air Dekakah,"Selasa, 08 September 2026 12:33:00",NASA-SNPP,Medium,110.9808,-2.35598,False,False,False,False,False,False,Di Luar Area Pantauan (>1000m dari Desa)
Kendawangan,Air Hitam Besar,"Selasa, 08 September 2026 12:33:00",NASA-SNPP,Medium,110.77531,-2.74788,False,False,False,False,True,True,Di Luar Area Pantauan (>1000m dari Desa)
Manis Mata,Suka Ramai,"Selasa, 08 September 2026 12:33:00",NASA-SNPP,Medium,111.16943,-2.70702,False,False,False,False,False,False,Di Luar Area Pantauan (>1000m dari Desa)
Nanga Tayap,Sepakat Jaya,"Selasa, 08 September 2026 12:33:00",NASA-SNPP,Medium,110.64788,-1.43789,False,False,False,False,False,False,Di Luar Area Pantauan (>1000m dari Desa)
Muara Pawan,Ulak Medang,"Selasa, 08 September 2026 12:33:00",NASA-SNPP,Medium,110.27797,-1.51622,False,False,True,True,False,True,Di Luar Area Pantauan (>1000m dari Desa)
Simpang Hilir,Matan Jaya,"Selasa, 08 September 2026 12:33:00",NASA-SNPP,Medium,110.16753,-1.063,False,False,False,False,False,False,Di Luar Area Pantauan (>1000m dari Desa)
Simpang Hilir,Matan Jaya,"Selasa, 08 September 2026 12:33:00",NASA-SNPP,Medium,110.1748,-1.05747,False,False,False,False,False,False,Di Luar Area Pantauan (>1000m dari Desa)
