Kecamatan,Desa,Waktu,Satelit,Confidence,Longitude,Latitude,in_desa,in_buffer,is_hutan,is_gambut,is_kk,in_kawasan,Prioritas_Satgas
Ella Hilir,Nanga Nyuruh,"Senin, 07 September 2026 19:36:00",NASA-MODIS,Medium,112.11745,-0.5182,False,False,False,False,False,False,Di Luar Area Pantauan (>1000m dari Desa)
Ella Hilir,Nanga Nyuruh,"Senin, 07 September 2026 19:36:00",NASA-MODIS,Medium,112.08456,-0.52274,False,False,False,False,False,False,Di Luar Area Pantauan (>1000m dari Desa)
Nanga Pinoh,Poring,"Senin, 07 September 2026 19:36:00",NASA-MODIS,Medium,111.72668,-0.43176,False,False,False,False,False,False,Di Luar Area Pantauan (>1000m dari Desa)
Menukung,Belaban Ella,"Senin, 07 September 2026 19:36:00",NASA-MODIS,Medium,112.21555,-0.53651,False,False,False,False,False,False,Di Luar Area Pantauan (>1000m dari Desa)
Nanga Pinoh,Labai Mandiri,"Senin, 07 September 2026 19:36:00",NASA-MODIS,High,111.7607,-0.42719,False,False,False,False,False,False,Di Luar Area Pantauan (>1000m dari Desa)
Nanga Pinoh,Labai Mandiri,"Senin, 07 September 2026 19:36:00",NASA-MODIS,High,111.75554,-0.4354,False,False,False,False,False,False,Di Luar Area Pantauan (>1000m dari Desa)
