Kecamatan,Desa,Waktu,Satelit,Confidence,Longitude,Latitude,in_desa,in_buffer,is_hutan,is_gambut,is_kk,in_kawasan,Prioritas_Satgas
Matan Hilir Selatan,Pagar Mentimun,"Rabu, 09 September 2026 15:24:00",NASA-MODIS,Low,110.10771,-2.2104,False,False,False,False,False,False,Di Luar Area Pantauan (>1000m dari Desa)
Nanga Tayap,Betenung,"Rabu, 09 September 2026 15:24:00",NASA-MODIS,Low,110.73112,-1.54622,False,False,False,False,False,False,Di Luar Area Pantauan (>1000m dari Desa)
Seberuang,Beluis Harum,"Rabu, 09 September 2026 15:24:00",NASA-MODIS,Low,112.00066,0.39267,False,False,False,False,False,False,Di Luar Area Pantauan (>1000m dari Desa)
Belitang Hulu,Ijuk,"Rabu, 09 September 2026 15:24:00",NASA-MODIS,Low,111.16778,0.41324,False,False,False,False,False,False,Di Luar Area Pantauan (>1000m dari Desa)
Marau,Batu Payung Dua,"Rabu, 09 September 2026 15:24:00",NASA-MODIS,Low,110.57755,-2.04062,False,False,False,False,True,True,Di Luar Area Pantauan (>1000m dari Desa)
Ella Hilir,Nanga Nyuruh,"Rabu, 09 September 2026 15:24:00",NASA-MODIS,Low,112.10902,-0.53409,False,False,False,False,False,False,Di Luar Area Pantauan (>1000m dari Desa)
Batu Ampar,Tanjungharapan,"Rabu, 09 September 2026 15:24:00",NASA-MODIS,Low,109.51254,-0.83125,True,False,True,True,True,True,Prioritas 4 (Waspada)
Kendawangan,Pangkalan Batu,"Rabu, 09 September 2026 15:24:00",NASA-MODIS,Low,110.3702,-2.11719,False,False,False,False,False,False,Di Luar Area Pantauan (>1000m dari Desa)
Sekadau Hilir,Seberang Kapuas,"Rabu, 09 September 2026 13:57:00",NASA-SNPP,Low,110.82993,0.08877,False,False,False,False,False,False,Di Luar Area Pantauan (>1000m dari Desa)
Mempawah Hilir,Sengkubang,"Rabu, 09 September 2026 13:57:00",NASA-SNPP,Low,109.02544,0.44646,False,False,False,True,False,True,Di Luar Area Pantauan (>1000m dari Desa)
Ketungau Hilir,Air Nyuruk,"Rabu, 09 September 2026 15:24:00",NASA-MODIS,Low,111.54391,0.57075,False,False,False,False,False,False,Di Luar Area Pantauan (>1000m dari Desa)
Sekadau Hilir,Seraras,"Rabu, 09 September 2026 13:57:00",NASA-SNPP,Low,110.97289,0.11507,False,False,False,False,False,False,Di Luar Area Pantauan (>1000m dari Desa)
Mukok,Kedukul,"Rabu, 09 September 2026 13:57:00",NASA-SNPP,Low,110.83724,0.09598,False,False,False,False,False,False,Di Luar Area Pantauan (>1000m dari Desa)
Mukok,Kedukul,"Rabu, 09 September 2026 13:57:00",NASA-SNPP,Low,110.83683,0.10199,False,False,False,False,False,False,Di Luar Area Pantauan (>1000m dari Desa)
Kendawangan,Airhitam Hulu,"Rabu, 09 September 2026 13:54:00",NASA-SNPP,Low,110.49978,-2.64164,False,False,False,False,True,True,Di Luar Area Pantauan (>1000m dari Desa)
Nanga Tayap,Betenung,"Rabu, 09 September 2026 13:57:00",NASA-SNPP,Low,110.72807,-1.54318,False,False,False,False,False,False,Di Luar Area Pantauan (>1000m dari Desa)
Simpang Dua,Kampar Sebomban,"Rabu, 09 September 2026 13:57:00",NASA-SNPP,Low,110.16321,-0.82765,False,False,True,False,False,True,Di Luar Area Pantauan (>1000m dari Desa)
Sekadau Hilir,Seberang Kapuas,"Rabu, 09 September 2026 13:57:00",NASA-SNPP,Low,110.83019,0.09194,False,False,False,False,False,False,Di Luar Area Pantauan (>1000m dari Desa)
Bonti,Bahta,"Rabu, 09 September 2026 13:57:00",NASA-SNPP,Low,110.65584,0.34109,False,False,False,False,False,False,Di Luar Area Pantauan (>1000m dari Desa)
Nanga Mahap,Karang Betung,"Rabu, 09 September 2026 13:57:00",NASA-SNPP,Low,110.87651,-0.64735,True,False,False,False,False,False,Prioritas 4 (Waspada)
Muara Pawan,Tanjung Pura,"Rabu, 09 September 2026 15:24:00",NASA-MODIS,Low,110.11953,-1.69278,False,False,True,True,False,True,Di Luar Area Pantauan (>1000m dari Desa)
Nanga Taman,Nanga Koman,"Rabu, 09 September 2026 13:57:00",NASA-SNPP,Low,110.71394,-0.32525,False,False,False,False,False,False,Di Luar Area Pantauan (>1000m dari Desa)
Belitang Hilir,Semadu,"Rabu, 09 September 2026 13:57:00",NASA-SNPP,Low,110.95171,0.41864,False,False,False,False,False,False,Di Luar Area Pantauan (>1000m dari Desa)
Nanga Tayap,Betenung,"Rabu, 09 September 2026 13:57:00",NASA-SNPP,Low,110.72877,-1.54406,False,False,False,False,False,False,Di Luar Area Pantauan (>1000m dari Desa)
Pulau Maya,Dusun Besar,"Rabu, 09 September 2026 13:57:00",NASA-SNPP,Low,109.47153,-1.09761,False,False,False,False,False,False,Di Luar Area Pantauan (>1000m dari Desa)
Belitang Hilir,Semadu,"Rabu, 09 September 2026 13:57:00",NASA-SNPP,Low,110.95158,0.42077,False,False,False,False,False,False,Di Luar Area Pantauan (>1000m dari Desa)
Pulau Maya,Dusun Besar,"Rabu, 09 September 2026 13:57:00",NASA-SNPP,Low,109.47272,-1.09367,False,False,False,False,False,False,Di Luar Area Pantauan (>1000m dari Desa)
Manis Mata,Seguling,"Rabu, 09 September 2026 13:54:00",NASA-SNPP,Low,111.08674,-2.56473,False,False,False,False,False,False,Di Luar Area Pantauan (>1000m dari Desa)
